Division,Match #,datetime,Home Team,Results,Away Team,Location
BU8 White,164,2026-06-27T11:30:00-04:00,Rising Stars FC Rising Stars FC U9,7 - 2,Weigold,Flagg Street Soccer Complex - Field 2 - 6v6
BU8 White,163,2026-06-27T12:40:00-04:00,HAYSA,1 - 3,BYSA Marsh,Flagg Street Soccer Complex - Field 1 - 6v6
BU8 White,167,2026-06-27T16:10:00-04:00,Weigold,9 - 1,Vikings United U8,Flagg Street Soccer Complex - Field 1 - 6v6
BU8 White,166,2026-06-27T16:10:00-04:00,BYSA Marsh,5 - 4,Rising Stars FC Rising Stars FC U9,Flagg Street Soccer Complex - Field 2 - 6v6
BU8 White,165,2026-06-27T18:30:00-04:00,Vikings United U8,0 - 14,HAYSA,Flagg Street Soccer Complex - Field 2 - 6v6
BU8 White,172,2026-06-28T12:40:00-04:00,Vikings United U8,1 - 6,BYSA Marsh,Flagg Street Soccer Complex - Field 1 - 6v6
BU8 White,171,2026-06-28T15:00:00-04:00,HAYSA,-,Rising Stars FC Rising Stars FC U9,Flagg Street Soccer Complex - Field 1 - 6v6
BU8 White,170,2026-06-28T15:00:00-04:00,BYSA Marsh,-,Weigold,Flagg Street Soccer Complex - Field 2 - 6v6
BU8 White,168,2026-06-28T17:20:00-04:00,Weigold,-,HAYSA,Flagg Street Soccer Complex - Field 1 - 6v6
BU8 White,169,2026-06-28T18:30:00-04:00,Rising Stars FC Rising Stars FC U9,-,Vikings United U8,Flagg Street Soccer Complex - Field 1 - 6v6
GU8 White,177,2026-06-27T09:10:00-04:00,HAYSA Lady Bulldogs,3 - 7,Behnke,Flagg Street Soccer Complex - Field 1 - 6v6
GU8 White,176,2026-06-27T09:10:00-04:00,Lincoln,6 - 3,Whitman Hanson Pink Panthers,Flagg Street Soccer Complex - Field 2 - 6v6
GU8 White,178,2026-06-27T10:20:00-04:00,Acushnet Youth Soccer Acushnet FC (Garcia Jr),2 - 6,Carver 2nd,Flagg Street Soccer Complex - Field 2 - 6v6
GU8 White,173,2026-06-27T12:40:00-04:00,Behnke,5 - 2,Acushnet Youth Soccer Acushnet FC (Garcia Jr),Flagg Street Soccer Complex - Field 2 - 6v6
GU8 White,175,2026-06-27T13:50:00-04:00,Raynham,7 - 0,HAYSA Lady Bulldogs,Flagg Street Soccer Complex - Field 2 - 6v6
GU8 White,174,2026-06-27T13:50:00-04:00,Carver 2nd,6 - 2,Lincoln,Flagg Street Soccer Complex - Field 1 - 6v6
GU8 White,179,2026-06-27T18:30:00-04:00,Whitman Hanson Pink Panthers,6 - 4,Raynham,Flagg Street Soccer Complex - Field 1 - 6v6
GU8 White,181,2026-06-28T12:40:00-04:00,Acushnet Youth Soccer Acushnet FC (Garcia Jr),1 - 7,Raynham,Flagg Street Soccer Complex - Field 2 - 6v6
GU8 White,180,2026-06-28T13:50:00-04:00,Whitman Hanson Pink Panthers,5 - 1,HAYSA Lady Bulldogs,Flagg Street Soccer Complex - Field 1 - 6v6
GU8 White,182,2026-06-28T13:50:00-04:00,Behnke,6 - 6,Lincoln,Flagg Street Soccer Complex - Field 2 - 6v6
GU8 White,183,2026-06-28T16:10:00-04:00,Lincoln,-,Acushnet Youth Soccer Acushnet FC (Garcia Jr),Flagg Street Soccer Complex - Field 1 - 6v6
GU8 White,184,2026-06-28T16:10:00-04:00,Carver 2nd,-,Whitman Hanson Pink Panthers,Flagg Street Soccer Complex - Field 2 - 6v6
