Match #,Time,Home Team,Results,Away Team,Location,Division
164,"Jun 27, 2026 11:30AM EDT",Rising Stars FC Rising Stars FC U9,7 - 2,Weigold,Flagg Street Soccer Complex - Field 2 - 6v6,BU8 White
163,"Jun 27, 2026 12:40PM EDT",HAYSA,1 - 3,BYSA Marsh,Flagg Street Soccer Complex - Field 1 - 6v6,BU8 White
167,"Jun 27, 2026 4:10PM EDT",Weigold,9 - 1,Vikings United U8,Flagg Street Soccer Complex - Field 1 - 6v6,BU8 White
166,"Jun 27, 2026 4:10PM EDT",BYSA Marsh,5 - 4,Rising Stars FC Rising Stars FC U9,Flagg Street Soccer Complex - Field 2 - 6v6,BU8 White
165,"Jun 27, 2026 6:30PM EDT",Vikings United U8,0 - 14,HAYSA,Flagg Street Soccer Complex - Field 2 - 6v6,BU8 White
172,"Jun 28, 2026 12:40PM EDT",Vikings United U8,1 - 6,BYSA Marsh,Flagg Street Soccer Complex - Field 1 - 6v6,BU8 White
171,"Jun 28, 2026 3:00PM EDT",HAYSA,-,Rising Stars FC Rising Stars FC U9,Flagg Street Soccer Complex - Field 1 - 6v6,BU8 White
170,"Jun 28, 2026 3:00PM EDT",BYSA Marsh,-,Weigold,Flagg Street Soccer Complex - Field 2 - 6v6,BU8 White
168,"Jun 28, 2026 5:20PM EDT",Weigold,-,HAYSA,Flagg Street Soccer Complex - Field 1 - 6v6,BU8 White
169,"Jun 28, 2026 6:30PM EDT",Rising Stars FC Rising Stars FC U9,-,Vikings United U8,Flagg Street Soccer Complex - Field 1 - 6v6,BU8 White
177,"Jun 27, 2026 9:10AM EDT",HAYSA Lady Bulldogs,3 - 7,Behnke,Flagg Street Soccer Complex - Field 1 - 6v6,GU8 White
176,"Jun 27, 2026 9:10AM EDT",Lincoln,6 - 3,Whitman Hanson Pink Panthers,Flagg Street Soccer Complex - Field 2 - 6v6,GU8 White
178,"Jun 27, 2026 10:20AM EDT",Acushnet Youth Soccer Acushnet FC (Garcia Jr),2 - 6,Carver 2nd,Flagg Street Soccer Complex - Field 2 - 6v6,GU8 White
